ID	symbol	chr	start	end	type
ENSG00000223972	DDX11L1	chr1	1	40000	processed_transcript
ENSG00000227232	WASH7P	chr1	1	40000	unprocessed_pseudogene
ENSG00000243485	MIR1302-10	chr1	1	40000	lincRNA
ENSG00000243485	MIR1302-10	chr1	1	40000	lincRNA
ENSG00000237613	FAM138A	chr1	1	40000	lincRNA
ENSG00000240361	OR4G11P	chr1	40001	80000	unprocessed_pseudogene
ENSG00000186092	OR4F5	chr1	40001	80000	protein_coding
ENSG00000238009	RP11-34P13.7	chr1	120001	160000	lincRNA
ENSG00000239945	RP11-34P13.8	chr1	80001	120000	lincRNA
ENSG00000239906	RP11-34P13.14	chr1	120001	160000	antisense
ENSG00000263128	U6	chr1	120001	160000	snRNA
ENSG00000241599	RP11-34P13.9	chr1	160001	200000	lincRNA
ENSG00000241860	RP11-34P13.13	chr1	160001	200000	antisense
ENSG00000228463	AP006222.2	chr1	240001	280000	lincRNA
ENSG00000241670	AP006222.1	chr1	200001	240000	processed_pseudogene
ENSG00000237094	RP4-669L17.10	chr1	320001	360000	lincRNA
ENSG00000250575	RP4-669L17.8	chr1	320001	360000	unprocessed_pseudogene
ENSG00000233653	CICP7	chr1	320001	360000	processed_pseudogene
ENSG00000224813	RP4-669L17.4	chr1	320001	360000	transcribed_unprocessed_pseudogene
ENSG00000235249	OR4F29	chr1	360001	400000	protein_coding
ENSG00000269732	WBP1LP7	chr1	360001	400000	processed_pseudogene
ENSG00000256186	AL732372.1	chr1	440001	480000	pseudogene
ENSG00000236601	RP4-669L17.2	chr1	440001	480000	lincRNA
ENSG00000236743	RP5-857K21.15	chr1	440001	480000	lincRNA
ENSG00000236679	RP4-669L17.1	chr1	440001	480000	processed_pseudogene
ENSG00000231709	RP5-857K21.1	chr1	520001	560000	lincRNA
ENSG00000235146	RP5-857K21.2	chr1	520001	560000	lincRNA
ENSG00000239664	RP5-857K21.3	chr1	520001	560000	lincRNA
ENSG00000230021	RP5-857K21.4	chr1	640001	680000	lincRNA
ENSG00000223659	RP5-857K21.5	chr1	560001	600000	lincRNA
ENSG00000225972	MTND1P23	chr1	560001	600000	unprocessed_pseudogene
ENSG00000225630	MTND2P28	chr1	560001	600000	unprocessed_pseudogene
ENSG00000229344	RP5-857K21.7	chr1	560001	600000	unprocessed_pseudogene
ENSG00000198744	RP5-857K21.11	chr1	560001	600000	unprocessed_pseudogene
ENSG00000268663	WBP1LP6	chr1	600001	640000	processed_pseudogene
ENSG00000185097	OR4F16	chr1	600001	640000	protein_coding
ENSG00000229376	CICP3	chr1	640001	680000	processed_pseudogene
ENSG00000224956	RP11-206L10.1	chr1	640001	680000	unprocessed_pseudogene
ENSG00000235373	RP11-206L10.3	chr1	680001	720000	lincRNA
ENSG00000263128	U6	chr1	680001	720000	snRNA
ENSG00000240618	RP11-206L10.5	chr1	680001	720000	lincRNA
ENSG00000229905	RP11-206L10.4	chr1	680001	720000	antisense
ENSG00000228327	RP11-206L10.2	chr1	680001	720000	lincRNA
ENSG00000269831	AL669831.1	chr1	720001	760000	protein_coding
ENSG00000230092	RP11-206L10.8	chr1	720001	760000	processed_transcript
ENSG00000237491	RP11-206L10.9	chr1	720001	760000	lincRNA
ENSG00000240453	RP11-206L10.10	chr1	720001	760000	processed_transcript
ENSG00000177757	FAM87B	chr1	720001	760000	lincRNA
ENSG00000225880	LINC00115	chr1	760001	800000	lincRNA
ENSG00000230368	FAM41C	chr1	800001	840000	lincRNA
ENSG00000230699	RP11-54O7.1	chr1	840001	880000	lincRNA
ENSG00000241180	RP11-54O7.2	chr1	840001	880000	lincRNA
ENSG00000223764	RP11-54O7.3	chr1	840001	880000	retained_intron
ENSG00000187634	SAMD11	chr1	840001	880000	protein_coding
ENSG00000188976	NOC2L	chr1	880001	920000	protein_coding
ENSG00000187961	KLHL17	chr1	880001	920000	protein_coding
ENSG00000187583	PLEKHN1	chr1	880001	920000	protein_coding
ENSG00000187642	C1orf170	chr1	880001	920000	retained_intron
ENSG00000188290	HES4	chr1	920001	960000	protein_coding
ENSG00000231702	RP11-54O7.10	chr1	920001	960000	processed_pseudogene
ENSG00000224969	RP11-54O7.11	chr1	920001	960000	antisense
ENSG00000187608	ISG15	chr1	920001	960000	protein_coding
ENSG00000188157	AGRN	chr1	920001	960000	protein_coding
ENSG00000242590	RP11-54O7.14	chr1	960001	1000000	sense_intronic
ENSG00000217801	RP11-465B22.3	chr1	960001	1000000	processed_transcript
ENSG00000237330	RNF223	chr1	1000001	1040000	protein_coding
ENSG00000131591	C1orf159	chr1	1040001	1080000	protein_coding
ENSG00000223823	RP11-465B22.5	chr1	1040001	1080000	lincRNA
ENSG00000207730	MIR200B	chr1	1080001	1120000	miRNA
ENSG00000207607	MIR200A	chr1	1080001	1120000	miRNA
ENSG00000198976	MIR429	chr1	1080001	1120000	miRNA
ENSG00000205231	TTLL10-AS1	chr1	1080001	1120000	antisense
ENSG00000162571	TTLL10	chr1	1080001	1120000	protein_coding
ENSG00000186891	TNFRSF18	chr1	1120001	1160000	protein_coding
ENSG00000186827	TNFRSF4	chr1	1120001	1160000	protein_coding
ENSG00000078808	SDF4	chr1	1160001	1200000	protein_coding
ENSG00000176022	B3GALT6	chr1	1160001	1200000	protein_coding
ENSG00000184163	FAM132A	chr1	1160001	1200000	protein_coding
ENSG00000260179	RP5-902P8.12	chr1	1160001	1200000	lincRNA
ENSG00000160087	UBE2J2	chr1	1200001	1240000	protein_coding
ENSG00000230415	RP5-902P8.10	chr1	1200001	1240000	lincRNA
ENSG00000162572	SCNN1D	chr1	1200001	1240000	protein_coding
ENSG00000131584	ACAP3	chr1	1240001	1280000	protein_coding
ENSG00000169972	PUSL1	chr1	1240001	1280000	protein_coding
ENSG00000127054	CPSF3L	chr1	1240001	1280000	protein_coding
ENSG00000240731	RP5-890O3.9	chr1	1240001	1280000	sense_intronic
ENSG00000224051	GLTPD1	chr1	1240001	1280000	protein_coding
ENSG00000169962	TAS1R3	chr1	1240001	1280000	protein_coding
ENSG00000107404	DVL1	chr1	1280001	1320000	protein_coding
ENSG00000162576	MXRA8	chr1	1280001	1320000	protein_coding
ENSG00000175756	AURKAIP1	chr1	1280001	1320000	protein_coding
ENSG00000223663	RP5-890O3.3	chr1	1280001	1320000	processed_pseudogene
ENSG00000221978	CCNL2	chr1	1320001	1360000	protein_coding
ENSG00000224870	RP4-758J18.2	chr1	1320001	1360000	protein_coding
ENSG00000242485	MRPL20	chr1	1320001	1360000	protein_coding
ENSG00000265326	Metazoa_SRP	chr1	1320001	1360000	misc_RNA
ENSG00000235098	ANKRD65	chr1	1320001	1360000	protein_coding
ENSG00000225905	RP4-758J18.7	chr1	1320001	1360000	antisense
ENSG00000205116	TMEM88B	chr1	1360001	1400000	protein_coding
ENSG00000225285	RP4-758J18.10	chr1	1360001	1400000	lincRNA
ENSG00000179403	VWA1	chr1	1360001	1400000	protein_coding
ENSG00000215915	ATAD3C	chr1	1360001	1400000	retained_intron
ENSG00000160072	ATAD3B	chr1	1400001	1440000	protein_coding
ENSG00000197785	ATAD3A	chr1	1440001	1480000	protein_coding
ENSG00000205090	TMEM240	chr1	1440001	1480000	protein_coding
ENSG00000160075	SSU72	chr1	1480001	1520000	protein_coding
ENSG00000215791	AL645728.2	chr1	1480001	1520000	pseudogene
ENSG00000215014	AL645728.1	chr1	1480001	1520000	protein_coding
ENSG00000236684	AL645728.3	chr1	1480001	1520000	pseudogene
ENSG00000228594	C1orf233	chr1	1520001	1560000	protein_coding
ENSG00000197530	MIB2	chr1	1520001	1560000	protein_coding
ENSG00000189409	MMP23B	chr1	1560001	1600000	protein_coding
ENSG00000248333	CDK11B	chr1	1560001	1600000	protein_coding
ENSG00000189339	SLC35E2B	chr1	1600001	1640000	retained_intron
ENSG00000215914	MMP23A	chr1	1600001	1640000	unprocessed_pseudogene
ENSG00000008128	CDK11A	chr1	1640001	1680000	protein_coding
ENSG00000227775	RP1-283E3.4	chr1	1640001	1680000	processed_transcript
ENSG00000215790	SLC35E2	chr1	1640001	1680000	protein_coding
ENSG00000008130	NADK	chr1	1680001	1720000	protein_coding
ENSG00000078369	GNB1	chr1	1800001	1840000	protein_coding
ENSG00000231050	RP1-140A9.1	chr1	1800001	1840000	antisense
ENSG00000169885	CALML6	chr1	1840001	1880000	protein_coding
ENSG00000178821	TMEM52	chr1	1840001	1880000	protein_coding
ENSG00000142609	C1orf222	chr1	1920001	1960000	retained_intron
ENSG00000233542	RP11-547D24.1	chr1	1920001	1960000	antisense
ENSG00000187730	GABRD	chr1	1920001	1960000	protein_coding
ENSG00000226969	RP11-547D24.3	chr1	1960001	2000000	antisense
ENSG00000067606	PRKCZ	chr1	1960001	2000000	protein_coding
ENSG00000182873	RP11-181G12.2	chr1	2080001	2120000	antisense
ENSG00000162585	C1orf86	chr1	2120001	2160000	protein_coding
